latitude,longitude,CoastType,CVI,Name_closest,Notes_closest,Info_closest,Wave_NC,Wave_Atlantic,Current
54.75,-8.25,"Beach that is part of extensive non-cohesive sedimentary systems (barrier, spit, tombolo)",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,1.06,5.9217
55.25,-8.0,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,29.06,6.6269
51.75,-10.25,Estuary,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,1.5409
51.5,-8.75,Small beaches,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,1.5801
54.25,-9.0,"Erodible rock and/or cliff, with rock waste and sediments (sand or pebbles) at its base",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,1.2491
51.5,-9.0,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,1.4303
53.25,-9.25,Vegetated (‘green’) beach,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.03,6.7118
53.75,-10.25,Small beaches,,,,,1,0.0,0.5295
52.0,-8.0,Estuary,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,1.9759
52.0,-7.5,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,5.6404
52.25,-6.75,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,12.34,20.8875
52.25,-6.5,Estuary,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,13.96,25.8327
54.25,-10.25,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",,,,,1,0.0,0.549
