station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster
130,50.740292,-1.5071276,105,-0.5383527914485733,0.4989396189587526,0.22217914787707252,0.08335723732136235,0.4355009192770033,0.1396367694037065,0.9892510651149707,1
131,50.609333,-1.949177,95,0.13140365406393473,0.3927073902207203,0.1669063311643086,0.0714361253081221,0.6902826137710876,0.12711214430710654,0.9911881852019803,1
133,50.594177,-4.8344054,88,0.3206219197306471,0.8030690321541734,0.5614674188115591,0.14987572695737525,0.0343671290479064,0.249915159572855,0.9370304655452535,0
14,47.19345,-1.633667,203,0.013349518010235546,0.8233193682780162,0.43254086932588487,0.08186063687172218,0.1244949185907317,0.15029161030702315,0.979801037265535,0
140,50.8839,-1.3931,226,0.004241887104840074,0.6276176063034835,0.17982182292029053,0.0310072467975403,0.976966790383803,0.05684805203238777,0.9986630673736202,1
141,50.802194,-1.11125,177,0.032178783170237986,0.4611957467400408,0.1628427377889974,0.06233965558329141,0.47816822747764587,0.12332320469481012,0.9910629055081164,1
142,50.368389,-4.18525,172,0.21765390531993,0.56451568557604,0.4256423574066428,0.1369430906108171,0.0028270157675775237,0.2726419055549095,0.905679933938514,0
146,51.707389,-5.051778,357,1.0640005622859385,1.9882304066066276,0.01248733913811377,0.11755995988090517,9.34943310817283e-05,0.1402862381407437,0.9589960532509394,1
147,51.6496,-9.9034,105,0.05896163815863933,0.3830196298297911,0.1425119305077281,0.055295629159229476,0.8873647713150975,0.09237448871803386,0.9946959694343737,1
148,51.8278,-8.0007,84,0.2259870666770583,0.38340907958739257,0.20523287240576005,0.06973775701020313,0.7822598119181255,0.13043851439315035,0.9875885949317333,1
15,48.640812,-2.028103,190,0.04527699129180577,0.5437239977493,0.1862063130423549,0.05125316874224203,0.680843575091898,0.08325213749170843,0.9959460321795766,1
151,51.716702,-5.0500002,200,0.06956228671153396,0.4399989657250138,0.18302967464508302,0.06834351918706588,0.29410968317924024,0.10345762075050097,0.9935662884933819,1
152,51.649601,-9.9034004,105,-0.14758382815087362,0.35192979842554817,0.14102733175213145,0.06676802552046368,0.7118200815751388,0.1280329072993509,0.986756399385177,1
153,51.827801,-8.0007,85,0.31010539753616595,0.4121891496547303,0.22515391410383212,0.08376314315923791,0.5611857826759992,0.1442605557865819,0.988180036072295,1
154,51.84,-8.3039999,79,-0.009852898365662235,0.4097144343431288,0.17722599311060516,0.09931000229898485,0.3914608156359729,0.19172887856769022,0.9670243478694516,1
156,51.114389,1.322528,396,-0.11532513224684812,0.628762864829612,0.2364611010004376,0.05318079390561725,0.20525967971782955,0.10259881226679532,0.99242532352111,1
157,51.445639,0.743361,337,0.49245604891849815,0.9505617968478952,0.5986193793151533,0.10945407256009276,0.0005693591144110107,0.20628150899534292,0.9530219244241758,0
158,51.211139,-4.112389,280,0.5765389584370828,1.209639073286572,0.3759307392587382,0.10231216431091572,0.005267247424937219,0.16861569563395207,0.9720931488120579,2
16,45.56843333,-1.06148333,128,0.0563024206220208,0.37306433007393264,0.19515587355065706,0.03534447070762148,0.9955616604660539,0.06974491726570997,0.9980591486182807,1
160,51.948,1.292056,222,-0.20967380394563556,0.5714668304200778,0.37953394711375465,0.0811518997856191,0.1016175391112728,0.14168008253972086,0.9911819949014221,0
161,51.21525,-3.134472,185,0.006010361830620943,0.7475889276004801,0.30826033597324615,0.0709835495987281,0.2947759163842919,0.11873699687124889,0.9881358857658945,0
