station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster,LD1,LD2
259,51.64286987,3.4810545,190,0.10643805923757443,0.8501691923204671,0.3263498699225017,0.07416813399456568,0.23494655890333305,0.131655609971716,0.9823285374237766,0,-0.7290730233106216,0.8075835268186897
260,51.39842692,4.02620594,185,0.4356971004889331,1.1870694526093022,0.4379070296517662,0.09399674611634537,0.07126942505294831,0.181678059403542,0.9707210002507126,0,-2.7827110589150865,0.33459890318377233
264,51.37786806,4.16499237,141,0.38463003158447956,1.213474019465965,0.4145321495693476,0.10643217149135437,0.07611470918838503,0.2000423520260211,0.9690266268071575,0,-2.6433209305802277,0.4605430228856659
265,51.37929817,3.37627452,114,0.39137575311841666,1.0913785047756814,0.3899133366535812,0.05907170634111658,0.7989458242389672,0.10381259851987146,0.995964199070086,0,-2.2325770502014226,0.20534672564056664
266,51.52144786,3.44003089,114,0.3660404003197368,1.0507767800732777,0.3875435198493319,0.054495044482877564,0.8688296143143603,0.10583184773147536,0.9950660069889901,0,-2.069694249845882,0.2605301358001749
269,51.59540662,4.00601046,108,0.3562715339376453,1.0638861860278972,0.4144797289568576,0.10175680107531943,0.19931254884596605,0.15307744912223759,0.9848376087537383,0,-2.213129847550457,0.44195960564990094
27,45.335567,-0.795167,66,-0.03461145648243326,0.5063830541812082,0.15417873137162122,0.08477125716458622,0.6979117686479517,0.14903428209676833,0.9895450831036501,1,1.854133686310937,-0.37402549797711276
270,51.50615366,4.07513028,101,0.40265662565465493,1.0236190653545134,0.43198647123742206,0.07768542536446299,0.5495362827192856,0.14111843130746077,0.9846615728032356,0,-2.2826436853291674,0.29663489984254554
271,51.95823879,4.16144308,105,0.020262178706369868,0.8311823278357,0.32299955222983945,0.057558435313187994,0.857475611265049,0.10783945690205615,0.9922022384473024,0,-0.493441500492439,1.1221212051016058
272,51.34208224,4.24763328,99,1.036871598977319,1.418534550807582,0.6021316709152906,0.10437391086425574,0.21542344232021926,0.19896525934438866,0.9583516517817364,2,-5.150099181368394,-1.2946892941724073
273,51.72154375,3.67591773,74,0.12934156399878233,1.0302778292400943,0.34133552115329474,0.11311527332437293,0.2784901251033277,0.1939391315658689,0.961802543077704,0,-1.311443629458563,0.9622647606667357
277,51.58282787,3.47102233,63,0.1361046080456512,0.8899773155574646,0.3596925905806494,0.1172463092279753,0.3260817707861108,0.21957007134265408,0.9654097696754589,0,-1.074380093136947,0.9102153822094448
3,48.38290024,-4.49503994,433,-0.008608886959282407,0.3934152205858311,0.15758472102823595,0.023970033274330227,0.9596375798881105,0.046129359538199965,0.9989711463303338,1,2.0441244067198645,-0.5390604058093185
326,51.048199,2.3664999,364,0.11386984836212198,0.7568858367380076,0.30444260194353934,0.03848688884462437,0.63927220252538,0.07252788430098497,0.9973988846978225,0,-0.37587864103568974,0.5594363200001565
327,51.116699,1.3166699,199,0.026711269327660964,0.6159009238965673,0.2654639098284892,0.0418549343663035,0.8619855566056407,0.07851407425357533,0.9965679405516858,1,0.41165194378340897,0.5239026786591379
328,51.216702,-3.1333301,197,-0.11828800052779098,0.6970486927259653,0.24871859958358755,0.03093666335141293,0.9888080076442733,0.061233720434882344,0.99829460867145,1,0.6171355095554331,1.0621052893340812
329,51.216702,-4.1166701,194,0.06367729491697775,0.4761900589600541,0.2085997441889284,0.04100971193614725,0.886442254636889,0.07869804250614401,0.9977606687128673,1,1.154569093773358,-0.2178264048307144
330,51.549599,-2.9860001,182,0.0213170609054199,0.9357504450128745,0.2643223000414784,0.0446519715725644,0.844958930178726,0.0716331386142231,0.99686033973762,0,-0.37048937361881873,0.8241067389800625
331,51.569698,-3.9737,172,0.023735775847228517,0.5735857242086942,0.2567282475307444,0.0471901108564764,0.8207223829765229,0.08978274688328663,0.9949198118411301,1,0.5879968899121581,0.43347608091928463
332,51.450001,0.75,178,0.02097191462423442,0.815909631724683,0.34931491610605914,0.05257295505323095,0.6887368363917599,0.10249470127909416,0.9918757080414079,0,-0.6077219959526933,1.2568865412454198
333,51.381985,1.1155597,168,0.15291544519832692,0.9102489770102473,0.3649235304430962,0.05483191855094394,0.6725191331851408,0.09381776020203075,0.995522348548157,0,-1.1858131078503944,0.8877072688518826
