,station,station_am_mean,station_am_std,station_am_max,swh_am_mean,swh_am_std,swh_am_max,mwp_am_mean,mwp_am_std,mwp_am_max,wsk_am_mean,wsk_am_std,wsk_am_max,sst_am_mean,sst_am_std,sst_am_max,wave_lon_am_mean,wave_lon_am_std,wave_lon_am_max,wave_lat_am_mean,wave_lat_am_std,wave_lat_am_max,wave_distance_deg_am_mean,wave_distance_deg_am_std,wave_distance_deg_am_max,u10_am_mean,u10_am_std,u10_am_max,v10_am_mean,v10_am_std,v10_am_max,msl_am_mean,msl_am_std,msl_am_max,tp_am_mean,tp_am_std,tp_am_max,d2m_am_mean,d2m_am_std,d2m_am_max,sp_am_mean,sp_am_std,sp_am_max,t2m_am_mean,t2m_am_std,t2m_am_max,longitude_am_mean,longitude_am_std,longitude_am_max,latitude_am_mean,latitude_am_std,latitude_am_max,wind_magnitude_am_mean,wind_magnitude_am_std,wind_magnitude_am_max,u10_abs_am_mean,u10_abs_am_std,u10_abs_am_max,v10_abs_am_mean,v10_abs_am_std,v10_abs_am_max,wind_wave_diff_am_mean,wind_wave_diff_am_std,wind_wave_diff_am_max,wind_wave_alignment_am_mean,wind_wave_alignment_am_std,wind_wave_alignment_am_max,tau_u_am_mean,tau_u_am_std,tau_u_am_max,tau_u_abs_am_mean,tau_u_abs_am_std,tau_u_abs_am_max,tau_v_am_mean,tau_v_am_std,tau_v_am_max,tau_v_abs_am_mean,tau_v_abs_am_std,tau_v_abs_am_max,tau_mag_am_mean,tau_mag_am_std,tau_mag_am_max,wind_dir_am_mean,wind_dir_am_std,mwd_am_mean,mwd_am_std,mwd,wind_dir,lat,lon
10,11,11.0,0.0,11,2.325240393964256,0.31714950090602917,3.1927192211151123,9.830168375154821,0.5058173018094889,11.312703132629395,0.07285956057106577,0.013239231973677074,0.1096922755241394,291.6981111852134,0.8886107339430755,293.892578125,-2.5,0.0,-2.5,47.25,0.0,47.25,0.04815139213979034,0.0,0.04815139213979034,4.2963786,1.0114173,6.55665,2.205143,0.8214541,4.8669977,102456.44,339.65558,103083.81,0.0045330697,0.00090416,0.0062618256,288.68378,0.9034964,290.86987,102347.83,338.91345,102973.44,292.21616,1.0377918,294.6494,-2.5,0.0,-2.5,47.25,0.0,47.25,7.050102,4.375182,21.119802,4.3012543,1.014669,6.55665,2.626941,0.64338845,4.8669977,227.80483160949336,18.973600660442873,264.69976329803467,0.9308334444044305,0.09555972690998328,0.999989969389053,0.043957956,0.04372737,0.19330667,0.04626631,0.043637313,0.19330667,0.025211817,0.027336096,0.12358949,0.028107077,0.026030906,0.12358949,0.10889401,0.15129578,0.71032834,113.79640476878096,66.92619994714381,278.4285874593213,13.397384390079376,278.4285874593213,113.79640476878096,47.25,-2.5
11,12,12.0,0.0,12,1.1805394335490902,0.16718383128794992,1.6399035453796387,8.349581439320634,0.464050021236463,9.586628913879395,0.004188617555106558,0.017479825978061497,0.10221409797668457,291.6981111852134,0.8886107339430755,293.892578125,-2.5,0.0,-2.5,47.5,0.0,47.5,0.13051471771413517,0.0,0.13051471771413517,3.407772,0.8014661,5.175791,1.9200854,0.6628313,4.0144587,102454.26,339.9953,103091.31,0.0044052545,0.0009024953,0.0062007904,288.20215,0.8772469,290.3308,102090.086,337.1812,102719.44,292.35004,1.1816638,294.99316,-2.5,0.0,-2.5,47.5,0.0,47.5,4.9642673,3.23749,15.24323,3.408956,0.8020688,5.175791,2.1492255,0.56959903,4.0144587,215.2980433033734,15.269369072174705,250.22748160362244,0.9543015102434595,0.1149433139932014,0.9999998999449184,0.02645816,0.025515366,0.11472284,0.02751195,0.025358493,0.11472284,0.01597516,0.017193291,0.07829608,0.017121496,0.016751306,0.07829608,0.05552992,0.078049004,0.37002704,107.12689916098991,68.77510471240328,265.21986298354557,15.51973053988446,265.21986298354557,107.12689916098991,47.5,-2.5
12,13,13.0,0.0,13,1.1805394335490902,0.16718383128794992,1.6399035453796387,8.349581439320634,0.464050021236463,9.586628913879395,0.004188617555106558,0.017479825978061497,0.10221409797668457,291.6981111852134,0.8886107339430755,293.892578125,-2.5,0.0,-2.5,47.5,0.0,47.5,0.10938590184297213,0.0,0.10938590184297213,3.407772,0.8014661,5.175791,1.9200854,0.6628313,4.0144587,102454.26,339.9953,103091.31,0.0044052545,0.0009024953,0.0062007904,288.20215,0.8772469,290.3308,102090.086,337.1812,102719.44,292.35004,1.1816638,294.99316,-2.5,0.0,-2.5,47.5,0.0,47.5,4.9642673,3.23749,15.24323,3.408956,0.8020688,5.175791,2.1492255,0.56959903,4.0144587,215.2980433033734,15.269369072174705,250.22748160362244,0.9543015102434595,0.1149433139932014,0.9999998999449184,0.02645816,0.025515366,0.11472284,0.02751195,0.025358493,0.11472284,0.01597516,0.017193291,0.07829608,0.017121496,0.016751306,0.07829608,0.05552992,0.078049004,0.37002704,107.12689916098991,68.77510471240328,265.21986298354557,15.51973053988446,265.21986298354557,107.12689916098991,47.5,-2.5
13,14,14.0,0.0,14,1.1805394335490902,0.16718383128794992,1.6399035453796387,8.349581439320634,0.464050021236463,9.586628913879395,0.004188617555106558,0.017479825978061497,0.10221409797668457,291.6981111852134,0.8886107339430755,293.892578125,-2.5,0.0,-2.5,47.5,0.0,47.5,0.11419628444043191,0.0,0.11419628444043191,3.407772,0.8014661,5.175791,1.9200854,0.6628313,4.0144587,102454.26,339.9953,103091.31,0.0044052545,0.0009024953,0.0062007904,288.20215,0.8772469,290.3308,102090.086,337.1812,102719.44,292.35004,1.1816638,294.99316,-2.5,0.0,-2.5,47.5,0.0,47.5,4.9642673,3.23749,15.24323,3.408956,0.8020688,5.175791,2.1492255,0.56959903,4.0144587,215.2980433033734,15.269369072174705,250.22748160362244,0.9543015102434595,0.1149433139932014,0.9999998999449184,0.02645816,0.025515366,0.11472284,0.02751195,0.025358493,0.11472284,0.01597516,0.017193291,0.07829608,0.017121496,0.016751306,0.07829608,0.05552992,0.078049004,0.37002704,107.12689916098991,68.77510471240328,265.21986298354557,15.51973053988446,265.21986298354557,107.12689916098991,47.5,-2.5
14,15,15.0,0.0,15,1.1805394335490902,0.16718383128794992,1.6399035453796387,8.349581439320634,0.464050021236463,9.586628913879395,0.004188617555106558,0.017479825978061497,0.10221409797668457,291.6981111852134,0.8886107339430755,293.892578125,-2.5,0.0,-2.5,47.5,0.0,47.5,0.08985439969751083,0.0,0.08985439969751083,3.407772,0.8014661,5.175791,1.9200854,0.6628313,4.0144587,102454.26,339.9953,103091.31,0.0044052545,0.0009024953,0.0062007904,288.20215,0.8772469,290.3308,102090.086,337.1812,102719.44,292.35004,1.1816638,294.99316,-2.5,0.0,-2.5,47.5,0.0,47.5,4.9642673,3.23749,15.24323,3.408956,0.8020688,5.175791,2.1492255,0.56959903,4.0144587,215.2980433033734,15.269369072174705,250.22748160362244,0.9543015102434595,0.1149433139932014,0.9999998999449184,0.02645816,0.025515366,0.11472284,0.02751195,0.025358493,0.11472284,0.01597516,0.017193291,0.07829608,0.017121496,0.016751306,0.07829608,0.05552992,0.078049004,0.37002704,107.12689916098991,68.77510471240328,265.21986298354557,15.51973053988446,265.21986298354557,107.12689916098991,47.5,-2.5
15,16,16.0,0.0,16,2.044807483510273,0.2888046072147689,2.8483996391296387,9.160673467124381,0.46560571737864487,10.503132820129395,0.0068003273591762635,0.0069628613962602216,0.04542088508605957,291.6981111852134,0.8886107339430755,293.892578125,-2.75,0.0,-2.75,47.5,0.0,47.5,0.09589418810334532,0.0,0.09589418810334532,4.1026754,0.9785957,6.299326,2.134076,0.7705897,4.7000055,102451.875,338.7063,103095.31,0.0047969352,0.00096371566,0.006456375,288.16528,0.85591555,290.2351,102173.59,336.67297,102811.44,291.98083,1.1017958,294.45215,-2.75,0.0,-2.75,47.5,0.0,47.5,6.569525,4.2658257,20.228626,4.1080637,0.9818681,6.299326,2.446486,0.6373456,4.7000055,218.99420889412485,16.728110874203686,250.18073797225952,0.9379918158843501,0.11200542638163004,0.9999997945210846,0.040160097,0.040419713,0.18021078,0.04202333,0.040355153,0.18021078,0.02360844,0.02567189,0.116486944,0.025410658,0.024878545,0.116486944,0.09700251,0.13672441,0.65164673,108.34896217904439,66.01706002650256,270.3744234084232,14.405746391461374,270.3744234084232,108.34896217904439,47.5,-2.75
16,17,17.0,0.0,17,2.044807483510273,0.2888046072147689,2.8483996391296387,9.160673467124381,0.46560571737864487,10.503132820129395,0.0068003273591762635,0.0069628613962602216,0.04542088508605957,291.6981111852134,0.8886107339430755,293.892578125,-2.75,0.0,-2.75,47.5,0.0,47.5,0.12247946814058319,0.0,0.12247946814058319,4.1026754,0.9785957,6.299326,2.134076,0.7705897,4.7000055,102451.875,338.7063,103095.31,0.0047969352,0.00096371566,0.006456375,288.16528,0.85591555,290.2351,102173.59,336.67297,102811.44,291.98083,1.1017958,294.45215,-2.75,0.0,-2.75,47.5,0.0,47.5,6.569525,4.2658257,20.228626,4.1080637,0.9818681,6.299326,2.446486,0.6373456,4.7000055,218.99420889412485,16.728110874203686,250.18073797225952,0.9379918158843501,0.11200542638163004,0.9999997945210846,0.040160097,0.040419713,0.18021078,0.04202333,0.040355153,0.18021078,0.02360844,0.02567189,0.116486944,0.025410658,0.024878545,0.116486944,0.09700251,0.13672441,0.65164673,108.34896217904439,66.01706002650256,270.3744234084232,14.405746391461374,270.3744234084232,108.34896217904439,47.5,-2.75
17,18,18.0,0.0,18,2.044807483510273,0.2888046072147689,2.8483996391296387,9.160673467124381,0.46560571737864487,10.503132820129395,0.0068003273591762635,0.0069628613962602216,0.04542088508605957,291.6981111852134,0.8886107339430755,293.892578125,-2.75,0.0,-2.75,47.5,0.0,47.5,0.050767127996372285,0.0,0.05076712799637228,4.1026754,0.9785957,6.299326,2.134076,0.7705897,4.7000055,102451.875,338.7063,103095.31,0.0047969352,0.00096371566,0.006456375,288.16528,0.85591555,290.2351,102173.59,336.67297,102811.44,291.98083,1.1017958,294.45215,-2.75,0.0,-2.75,47.5,0.0,47.5,6.569525,4.2658257,20.228626,4.1080637,0.9818681,6.299326,2.446486,0.6373456,4.7000055,218.99420889412485,16.728110874203686,250.18073797225952,0.9379918158843501,0.11200542638163004,0.9999997945210846,0.040160097,0.040419713,0.18021078,0.04202333,0.040355153,0.18021078,0.02360844,0.02567189,0.116486944,0.025410658,0.024878545,0.116486944,0.09700251,0.13672441,0.65164673,108.34896217904439,66.01706002650256,270.3744234084232,14.405746391461374,270.3744234084232,108.34896217904439,47.5,-2.75
18,19,19.0,0.0,19,2.044807483510273,0.2888046072147689,2.8483996391296387,9.160673467124381,0.46560571737864487,10.503132820129395,0.0068003273591762635,0.0069628613962602216,0.04542088508605957,291.6981111852134,0.8886107339430755,293.892578125,-2.75,0.0,-2.75,47.5,0.0,47.5,0.11352657532049615,0.0,0.11352657532049616,4.1026754,0.9785957,6.299326,2.134076,0.7705897,4.7000055,102451.875,338.7063,103095.31,0.0047969352,0.00096371566,0.006456375,288.16528,0.85591555,290.2351,102173.59,336.67297,102811.44,291.98083,1.1017958,294.45215,-2.75,0.0,-2.75,47.5,0.0,47.5,6.569525,4.2658257,20.228626,4.1080637,0.9818681,6.299326,2.446486,0.6373456,4.7000055,218.99420889412485,16.728110874203686,250.18073797225952,0.9379918158843501,0.11200542638163004,0.9999997945210846,0.040160097,0.040419713,0.18021078,0.04202333,0.040355153,0.18021078,0.02360844,0.02567189,0.116486944,0.025410658,0.024878545,0.116486944,0.09700251,0.13672441,0.65164673,108.34896217904439,66.01706002650256,270.3744234084232,14.405746391461374,270.3744234084232,108.34896217904439,47.5,-2.75
19,20,20.0,0.0,20,2.044807483510273,0.2888046072147689,2.8483996391296387,9.160673467124381,0.46560571737864487,10.503132820129395,0.0068003273591762635,0.0069628613962602216,0.04542088508605957,291.6981111852134,0.8886107339430755,293.892578125,-2.75,0.0,-2.75,47.5,0.0,47.5,0.15968822149739234,0.0,0.15968822149739234,4.1026754,0.9785957,6.299326,2.134076,0.7705897,4.7000055,102451.875,338.7063,103095.31,0.0047969352,0.00096371566,0.006456375,288.16528,0.85591555,290.2351,102173.59,336.67297,102811.44,291.98083,1.1017958,294.45215,-2.75,0.0,-2.75,47.5,0.0,47.5,6.569525,4.2658257,20.228626,4.1080637,0.9818681,6.299326,2.446486,0.6373456,4.7000055,218.99420889412485,16.728110874203686,250.18073797225952,0.9379918158843501,0.11200542638163004,0.9999997945210846,0.040160097,0.040419713,0.18021078,0.04202333,0.040355153,0.18021078,0.02360844,0.02567189,0.116486944,0.025410658,0.024878545,0.116486944,0.09700251,0.13672441,0.65164673,108.34896217904439,66.01706002650256,270.3744234084232,14.405746391461374,270.3744234084232,108.34896217904439,47.5,-2.75
