,station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster
101,272,51.34208224,4.24763328,99,1.036871598977319,1.418534550807582,0.6021316709152906,0.10437391086425574,0.21542344232021926,0.19896525934438866,0.9583516517817364,2
102,273,51.72154375,3.67591773,74,0.12934156399878233,1.0302778292400943,0.34133552115329474,0.11311527332437293,0.2784901251033277,0.1939391315658689,0.961802543077704,4
103,277,51.58282787,3.47102233,63,0.1361046080456512,0.8899773155574646,0.3596925905806494,0.1172463092279753,0.3260817707861108,0.21957007134265408,0.9654097696754589,4
104,3,48.38290024,-4.49503994,433,-0.008608886959282407,0.3934152205858311,0.15758472102823595,0.023970033274330227,0.9596375798881105,0.046129359538199965,0.9989711463303338,3
105,326,51.048199,2.3664999,364,0.11386984836212198,0.7568858367380076,0.30444260194353934,0.03848688884462437,0.63927220252538,0.07252788430098497,0.9973988846978225,1
106,327,51.116699,1.3166699,199,0.026711269327660964,0.6159009238965673,0.2654639098284892,0.0418549343663035,0.8619855566056407,0.07851407425357533,0.9965679405516858,1
107,328,51.216702,-3.1333301,197,-0.11828800052779098,0.6970486927259653,0.24871859958358755,0.03093666335141293,0.9888080076442733,0.061233720434882344,0.99829460867145,1
108,329,51.216702,-4.1166701,194,0.06367729491697775,0.4761900589600541,0.2085997441889284,0.04100971193614725,0.886442254636889,0.07869804250614401,0.9977606687128673,3
109,330,51.549599,-2.9860001,182,0.0213170609054199,0.9357504450128745,0.2643223000414784,0.0446519715725644,0.844958930178726,0.0716331386142231,0.99686033973762,1
110,331,51.569698,-3.9737,172,0.023735775847228517,0.5735857242086942,0.2567282475307444,0.0471901108564764,0.8207223829765229,0.08978274688328663,0.9949198118411301,1
111,332,51.450001,0.75,178,0.02097191462423442,0.815909631724683,0.34931491610605914,0.05257295505323095,0.6887368363917599,0.10249470127909416,0.9918757080414079,1
112,333,51.381985,1.1155597,168,0.15291544519832692,0.9102489770102473,0.3649235304430962,0.05483191855094394,0.6725191331851408,0.09381776020203075,0.995522348548157,4
113,334,51.507099,-2.7114,140,0.11624723590701794,1.043450727229708,0.3007225268830883,0.047895252904231245,0.889587734730934,0.08976146643199667,0.9925146355594875,4
114,335,51.966702,1.35,128,-0.05811465078253005,0.6863310094086529,0.3002194980105533,0.053092890915910074,0.8443476366639334,0.09841434826023365,0.9937810469361088,1
115,336,51.948002,1.2920001,124,-0.1748849804699015,0.6530729095083834,0.2960864218206669,0.04303954896654649,0.9681416099098368,0.08530933427389287,0.9953962388180563,1
116,337,51.223793,1.4092588,115,-0.14671289830919215,0.644467089653274,0.24702804565265474,0.06771406647615297,0.6422490658611271,0.12401627637799928,0.992031380547427,1
117,338,51.5,-2.7284,100,0.24794053802523136,1.1630009072038845,0.4091419744688785,0.11602984458475185,0.12501317218381114,0.22553511071649607,0.9500630744175126,4
118,339,51.570122,-2.7000217,79,0.6330111750279996,1.3642418684199082,0.4235880525818463,0.10740530155033523,0.29997390729695994,0.18843055785364815,0.968712666952001,2
119,342,51.522301,3.4402001,63,0.22583725700071003,0.8392934899221547,0.33515690663566255,0.059175039523462036,0.9707695968894469,0.11810027551696056,0.9879902594064109,4
120,35,45.040483,-0.603517,60,-0.20972948300383598,0.6316684832145636,0.1692333770100919,0.052416898938538736,0.993626302521821,0.10005955868939531,0.9956146990601887,3
121,368,52.3385,-6.4589,86,0.06634583780434977,0.4648332498321235,0.16469512437447514,0.06966642618585195,0.7716288645324997,0.13305835838844526,0.9881701071945211,3
122,369,52.14767,-6.99188,77,-0.12347465667215843,0.41668698859028985,0.16691175973248223,0.059237194978019714,0.9350302485435661,0.11361074904826646,0.9936093829947946,3
123,375,52.792,-6.1451998,129,0.020966918509637784,0.47586167275714897,0.180109273058714,0.04150019634960578,0.9727424260317846,0.08019842168088043,0.9963264652130259,3
124,376,52.338501,-6.4589,88,0.19170740862462948,0.4621953196959919,0.2115818719280817,0.07370624304540674,0.6974162147801609,0.128871353269239,0.995057051452398,3
125,377,52.2696,-9.8620996,87,0.25390241823322013,0.4070959968697164,0.2616576120815191,0.1304235320137449,0.09463818871052287,0.25632165890886505,0.9204895375280133,1
126,382,52.013222,-4.98375,362,0.2120883036881155,0.45655090870610804,0.3487887885617047,0.0726850377827446,0.04148163256311288,0.14269549953506272,0.9742152434315572,1
127,383,52.473083,1.75025,367,-0.05777771780573759,0.674153389341818,0.28984578412688344,0.04155102312336645,0.5367807761899055,0.07785014052221298,0.9950565475633716,1
128,384,52.934194,1.301639,227,0.049834199653346456,0.7477534771301244,0.33003734479688707,0.054864513467197895,0.4845964186539875,0.0853078414762656,0.9964541084079692,1
129,385,52.719333,-4.045028,184,0.3855362508166614,0.7631088172885162,0.48348661347927774,0.11377493790936721,0.015691577632160066,0.21488679139745454,0.9585182733175168,4
130,386,52.964357,4.74499,347,0.06697277980059786,0.8479697304022306,0.33715926307120575,0.053402123343849306,0.2660839365223311,0.09348945072990067,0.992289287305239,1
131,387,52.931535,5.045596,288,0.21443877762262809,0.9418536513019049,0.4137205393640464,0.06943041660086649,0.11873236601219361,0.12295706625636785,0.9851210847347517,4
132,391,52.462323,4.554823,228,0.09076215522412287,0.8959870412405269,0.34021769656978595,0.08525347243419948,0.06854709307893936,0.13951350364210727,0.9860110089041814,4
133,392,52.467249,4.60506,134,0.17017395412808117,0.9194442491657396,0.35456027524305916,0.07243096488827006,0.46158436819734816,0.134527289755408,0.9855569301032828,4
134,398,52.934137,4.792286,61,0.11113035935220493,0.7556078874301151,0.376614184093705,0.06855614362094113,0.9177924970882815,0.133539647210492,0.9900823878280754,1
135,4,47.266862,-2.20155,438,0.0032359036471830225,0.500740150271523,0.22312862524452035,0.030724249767110523,0.790832855060855,0.05624179656064854,0.9980805729913356,3
136,400,52.772657,4.649702,242,0.13962809443291613,0.8695245672997156,0.34271862482953863,0.060463761818593365,0.3260282235675369,0.10026160423487152,0.9921201014467186,4
137,401,52.099033,4.263563,337,0.09073499637551351,0.8818250113961204,0.3447469702670066,0.058575055229458356,0.19022723752553916,0.10898416797529295,0.9896847632428007,4
138,403,52.09903557,4.2635626,164,0.16061726053558328,1.0242977358849807,0.30529447008284116,0.04829478261277803,0.8209273730042852,0.08997580463948579,0.9936043908817358,4
139,404,52.46394337,4.51759573,128,0.20291880617499763,0.9528466877313808,0.3661527223581088,0.042919575392672216,0.9643912958231371,0.08153880207975181,0.9963458071533055,4
140,405,52.77265954,4.64970234,76,0.1891198297173804,1.0525476920857737,0.3293664079104241,0.08486530483785404,0.6136689120548426,0.1649773829899484,0.9821078962903977,4
141,41,48.3829,-4.4951,433,-0.008803944151700917,0.3934716196075528,0.1575104104185178,0.02409151220887895,0.9578770099332019,0.046250683180317,0.9989871229279094,3
142,413,52.9333,1.3,211,0.015998416457864886,0.7101838194806707,0.33017151174228576,0.053214153812087384,0.5701429966286067,0.08153661815628588,0.9970949240787386,1
143,414,52.016701,-4.9833298,207,0.007674855368168863,0.4113204014359163,0.1633044319618192,0.035436255011200735,0.9490440324345437,0.06517129878957308,0.9976714099063637,3
144,415,52.466702,1.75,211,-0.039473132936974346,0.658938303996951,0.29337765578756136,0.03828915625052143,0.904599035259727,0.07187270240662436,0.9972591497482225,1
145,416,52.716702,-4.03333,180,-0.04544236392341382,0.6616281897938524,0.2884591782322029,0.04469945105966516,0.8486105003622673,0.08169240371426661,0.9964321290983539,1
146,417,52.931274,5.0479212,64,0.17396380408061152,0.18734432230511064,0.09394997760614884,0.08620044708970043,0.6958979967578094,0.16268798187996225,0.9826281736866606,3
