station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster
152,51.649601,-9.9034004,105,0.10091740382475711,1.4221368738335733,0.17128242798025878,0.04908700173081093,0.9511918840132618,0.08002452645642699,0.9965378222354205,4
153,51.827801,-8.0007,85,0.29983279874814395,1.4815601018841473,0.22608575256655222,0.06990869352364182,0.7739204125570088,0.1377507617330645,0.9873528394423352,1
154,51.84,-8.3039999,79,0.1989040803194252,1.8720897304332316,0.2552398008967103,0.11481181337709401,0.2303881917487398,0.22401491429519388,0.9535678006909171,1
156,51.114389,1.322528,396,0.14042460180918737,3.0038849290901184,0.8941182205215343,0.28630501310480233,3.1659984970017586e-29,0.5713257666661988,0.5946284772143529,7
158,51.211139,-4.112389,280,1.2423882699525621,0.644488888736469,0.022344667552364687,0.1976327968264196,4.648892817485664e-10,0.37289517667262356,0.8157425932674378,6
16,45.56843333,-1.06148333,128,0.5825163053864553,2.30710010721556,0.4907301117215993,0.1834334375247505,0.00030520741970346864,0.33940309861202317,0.8800623945627252,7
161,51.21525,-3.134472,185,0.2003081297058964,5.785442216781852,0.7748999898677158,0.24668610574421546,2.1142694574061926e-10,0.3996726752938315,0.8109202884518891,2
162,51.55,-2.987444,188,0.7408910072024122,6.205608540278602,0.7371249299391729,0.14697170709507412,0.0005224288722655147,0.2799461379718047,0.912574715875643,2
166,51.38198,1.11553,173,0.09253899178955777,2.6224551582469644,0.2035199107735134,0.04392978924690788,0.8774164218847899,0.07096581371855168,0.9964544375301978,1
167,51.22378,1.40923,115,0.705387504887472,3.10768444635941,0.1302060982310772,0.06163499411909673,0.751142469539823,0.10643560703779054,0.9931668504967978,1
168,51.57012,-2.70001,76,0.5139338550991974,0.17083927851682545,0.04400075635454171,0.09450523302534791,0.4771026722884022,0.15955314969042017,0.9696389855210332,6
17,47.305667,-2.0883,165,0.25671466507641627,2.4382725290945917,0.25114071598205745,0.04451891152286025,0.8845159789470429,0.08113451511680994,0.9978541330122525,1
170,51.048091,2.366698,364,0.42880832788061773,2.996483361238867,0.431795893921759,0.1846017677544446,2.490939200062215e-11,0.33877202405489365,0.8514133754367998,7
172,51.399148,4.209993,288,0.4152597140943265,3.124334778591753,0.5991322208419418,0.17054846516345956,8.570132193130062e-08,0.32575283001634603,0.8767839032860731,7
174,51.511332,4.165743,175,0.07653710358991161,2.446545195310379,0.23191374570307538,0.052243529442730086,0.7058224118514047,0.09977061454600283,0.9925293326101805,1
175,51.399115,3.564552,80,0.20266233743076156,1.9494538095247265,0.32470930369387313,0.0901337750923316,0.5054756857489138,0.16685072903758408,0.983746990797194,1
178,51.750754,3.811483,234,0.40148789799117796,2.2483723142995897,0.2723422620605979,0.07917125250228052,0.10080146348936159,0.12867246311857805,0.9844733675891049,1
179,51.655118,4.102756,153,0.1458500802372853,2.2578688641837545,0.3717744275833236,0.061981303964041,0.5774831568849039,0.1140043198090318,0.9928658195264962,1
18,47.542676,-2.895167,133,0.25109415725347506,2.235644522260899,0.22858070196482602,0.06946545930056103,0.5197466033073214,0.12461015127065078,0.9899319550229964,1
180,51.675798,3.756442,98,0.4913885732936385,1.0721750598242528,0.5429032916306615,0.1399467964752788,0.03887571301957837,0.2540778669669392,0.9376042065781119,7
181,51.379296,3.376275,288,0.4108566377225491,2.6054006327228665,0.4186750883710204,0.15776917779287647,9.96264716606108e-07,0.28561250400048055,0.9026820078667107,7
183,51.60088,3.85938,97,0.49173442617441787,1.0247154070189792,0.5668259162858619,0.13287957587070703,0.05919338956386644,0.24079009488895714,0.9375274518043692,7
19,47.873549,-3.907207,154,0.2538255681768329,2.2004387864350363,0.21528916055718986,0.06188142309993408,0.5754579411603922,0.10864676737562054,0.9960499610073156,1
194,51.445556,4.006959,347,-0.07288566837548183,2.927859105212202,0.2486517488750034,0.04093391949231295,0.5915185346868179,0.08142492913740645,0.9960789484511456,1
195,51.863131,3.860766,214,0.5902725510915448,1.7380678800429772,0.30151387975248267,0.08002700235159932,0.12213744823861339,0.15309720689602396,0.9765935687717572,7
196,51.835992,4.054941,70,0.9261203503375472,0.9288021621683777,0.14439089454055928,0.08422745750389485,0.6718216375716038,0.12227545941806409,0.9918494281943745,3
197,51.829224,4.04484,98,0.8601327873440332,1.876481442955475,0.31648797707268683,0.09505736397986253,0.31827833618685364,0.1802453609802659,0.983048867631669,3
2,48.383,-4.5,435,0.3571192004351627,3.2494850763393455,0.24853126554850075,0.02097837799450497,0.9888525750685275,0.03867329432306543,0.9992506587986977,1
200,51.819721,4.128239,347,1.044488065932374,0.6150162680193496,0.23885188786422124,0.12418892776644619,4.0122166498042986e-05,0.23483273506172486,0.9370436233941134,3
203,51.977572,4.119881,347,0.6569026512936684,1.5876532821001963,0.24842514314502157,0.10591058348198296,0.0007640896733927908,0.18316212527038783,0.9606226000736509,3
205,51.543944,3.865419,93,0.480874861282296,1.2680611262552395,0.5854706471633448,0.1580966088262007,0.016960981726974578,0.2795543267980315,0.9144979428311142,7
208,51.666274,4.095356,109,0.5544784156272216,1.4315257775316643,0.6380567416744671,0.1085094724383518,0.1425577660025098,0.20428312039321667,0.9590036963026252,7
