,Unnamed: 0,station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster,geometry,CVI_Category,dist_to_CVI_m,Morpho,CoastType,dist_to_morpho_m,wave_nc_mean_0p1deg,wave_atl_mean_0p1deg,current_mean_0p1deg,current_mean_1deg,dist_to_river_outlet_m,GEV_ID,HYRIV_ID,dist_to_nearest_river_m,nearest_CATCH_SKM_10km,nearest_DIS_AV_CMS_10km,river_index_10km,coastal_type
35,26,14,47.19345,-1.633667,203,0.0134330634830521,0.8232882942879987,0.432511799331808,0.0819018346598658,0.1241505438848318,0.1503069268684796,0.9797964126425452,4,POINT (-1.633667 47.193449999999984),No data,17388.407991408425,H,Estuary,44430.35231708897,0.0,,,,27855.677839740096,35,20449399,33.65453628985625,43.9,996.562,0.23930522387471323,84200 Coastal waters
36,26,14,47.19345,-1.633667,203,0.0134330634830521,0.8232882942879987,0.432511799331808,0.0819018346598658,0.1241505438848318,0.1503069268684796,0.9797964126425452,4,POINT (-1.633667 47.193449999999984),No data,17388.407991408425,H,Estuary,44430.35231708897,0.0,,,,27855.677839740096,36,20449399,33.65453628985625,43.9,996.562,0.23930522387471323,12330 Fishing port
37,26,14,47.19345,-1.633667,203,0.0134330634830521,0.8232882942879987,0.432511799331808,0.0819018346598658,0.1241505438848318,0.1503069268684796,0.9797964126425452,4,POINT (-1.633667 47.193449999999984),No data,17388.407991408425,G,"Muddy coastline, including tidal flat, salt marsh",44430.35231708897,0.0,,,,27855.677839740096,37,20449399,33.65453628985625,43.9,996.562,0.23930522387471323,12310 Cargo port
38,26,14,47.19345,-1.633667,203,0.0134330634830521,0.8232882942879987,0.432511799331808,0.0819018346598658,0.1241505438848318,0.1503069268684796,0.9797964126425452,4,POINT (-1.633667 47.193449999999984),No data,17388.407991408425,G,"Muddy coastline, including tidal flat, salt marsh",44430.35231708897,0.0,,,,27855.677839740096,38,20449399,33.65453628985625,43.9,996.562,0.23930522387471323,12310 Cargo port
39,27,140,50.8839,-1.3931,226,0.0042792526272125,0.6276230253439268,0.1798321126857646,0.0309892874894778,0.9770953946611451,0.0568306160714349,0.99866448177567,3,POINT (-1.3931 50.88389999999999),Lower,10.820425051842465,J,Harbor area,109.2410394917273,0.2814670138888889,2.781679245689005,285.89050631939784,613.6982435731711,1427.5611804921884,39,20351414,1427.5611804921884,7.45,0.111,0.04336060181253805,
40,28,141,50.802194,-1.11125,177,0.0321888062476629,0.4611759286070112,0.1628453400971136,0.062298389508422,0.4790150532928037,0.1233018250604657,0.991067054335292,3,POINT (-1.1112499999999998 50.802194),Lower,54.37438017325264,H,Estuary,2399.7960768222906,1.1267361111111112,59.35063358853829,109.98776558237354,592.8097995305287,4455.600015176976,40,20354123,4153.451493152045,11.39,0.174,0.02940404755689639,83200 Estuaries
41,29,142,50.368389,-4.18525,172,0.2176333426426524,0.5645075854326811,0.4256514880536335,0.1369402787472823,0.0028277755478398,0.272646571164597,0.9056776935281504,1,POINT (-4.18525 50.368388999999986),Lower,36.55547798065188,H,Estuary,1836.0994388985687,1.0907118055555556,267.4130746391866,16.0248497699407,177.72774450428446,1924.870201194712,41,20364199,1924.870201194712,6.16,0.202,0.06290427607937651,84200 Coastal waters
42,29,142,50.368389,-4.18525,172,0.2176333426426524,0.5645075854326811,0.4256514880536335,0.1369402787472823,0.0028277755478398,0.272646571164597,0.9056776935281504,1,POINT (-4.18525 50.368388999999986),Lower,36.55547798065188,H,Estuary,1836.0994388985687,1.0907118055555556,267.4130746391866,16.0248497699407,177.72774450428446,1924.870201194712,42,20364199,1924.870201194712,6.16,0.202,0.06290427607937651,84200 Coastal waters
43,29,142,50.368389,-4.18525,172,0.2176333426426524,0.5645075854326811,0.4256514880536335,0.1369402787472823,0.0028277755478398,0.272646571164597,0.9056776935281504,1,POINT (-4.18525 50.368388999999986),Lower,36.55547798065188,C,Small beaches,1836.0994388985687,1.0907118055555556,267.4130746391866,16.0248497699407,177.72774450428446,1924.870201194712,43,20364199,1924.870201194712,6.16,0.202,0.06290427607937651,
44,29,142,50.368389,-4.18525,172,0.2176333426426524,0.5645075854326811,0.4256514880536335,0.1369402787472823,0.0028277755478398,0.272646571164597,0.9056776935281504,1,POINT (-4.18525 50.368388999999986),Lower,36.55547798065188,C,Small beaches,1836.0994388985687,1.0907118055555556,267.4130746391866,16.0248497699407,177.72774450428446,1924.870201194712,44,20364199,1924.870201194712,6.16,0.202,0.06290427607937651,84200 Coastal waters
45,30,146,51.707389,-5.051778,357,1.0723473949203204,1.9887749501805183,0.0120014173790022,0.1009525109147458,0.0012772696220718,0.1333459667775856,0.9729457515872552,5,POINT (-5.051778 51.707389),Lower,48.75682724774446,J,Harbor area,45.93453819163155,0.8642578125,374.7679384922301,145.50365507414713,183.9656176094763,1176.4086436915607,45,20330275,1136.0468702809274,9.97,0.298,0.1198417500682782,84200 Coastal waters
46,31,147,51.6496,-9.9034,105,0.0588466442113375,0.3830352650200835,0.1425147139332348,0.0552482367652136,0.8879564998171277,0.0923633780620368,0.99469884806074,3,POINT (-9.903399999999998 51.6496),No data,207.27946035184206,D,Gravel beach fronting upland (> 1 km long),529.3247192249775,1.1724175347222223,1067.8604794370974,4.932680706697129,30.451575980850986,467.9113097310616,46,20331799,467.9113097310616,4.53,0.221,0.13602333755171536,84200 Coastal waters
47,32,148,51.8278,-8.0007,84,0.226027038122887,0.3835082443092429,0.2052377244922952,0.0699158540021328,0.77968803160798,0.1304851690396265,0.9875590727430203,3,POINT (-8.0007 51.8278),No data,104.04797895021677,A,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",626.1035368209384,1.2521701388888888,721.8810373204095,19.767421054138584,27.525463260589092,2016.7749840958688,47,20326988,2016.7749840958688,9.29,0.23,0.06862101892273356,84200 Coastal waters
48,33,15,48.640812,-2.028103,190,0.045248010591771,0.5436971216073824,0.1861832229783482,0.0512194921521484,0.6816250151769158,0.083280982293869,0.9959427545622148,3,POINT (-2.028103 48.640812),Intermediate,91.44272593222558,J,Harbor area,182.54992377664593,1.2157118055555556,201.56172610086108,800.2175085167701,630.7525480306634,335.41469361631374,48,20408123,335.41469361631374,33.62,0.496,0.3016253076137801,84200 Coastal waters
49,34,151,51.716702,-5.0500002,200,0.0694745200040886,0.4400004794577209,0.1830452654573161,0.0683477541043902,0.2940413478914973,0.1034240698808935,0.9935700994664058,3,POINT (-5.0500001999999995 51.716702000000005),Lower,1548.5739643945792,J,Harbor area,1533.2216404442854,0.8093532986111112,367.3292131809782,116.2372549915795,184.9578501570116,1226.2222338991312,49,20330275,717.5991950170455,9.97,0.298,0.11716019036738369,83200 Estuaries
50,35,152,51.649601,-9.9034004,105,-0.1476613746605578,0.3519409308518334,0.141030932902707,0.0667373659245489,0.712343894808253,0.1280348435311473,0.986759306145052,3,POINT (-9.9034004 51.64960099999999),No data,207.12133438291906,D,Gravel beach fronting upland (> 1 km long),529.2705355050392,1.1724175347222223,1067.8604794370974,4.932680706697129,30.451575980850986,467.86733980273425,50,20331799,467.86733980273425,4.53,0.221,0.13602741212728553,12310 Cargo port
