,Unnamed: 0,wind_wave_alignment,lat,tp,lon,mwd,mwp,wind_dir,v10_abs,tau_v,msl,sp,v10,u10_abs,swh,station,extract_time,cluster
81,81,,48.383,6.723404e-05,-4.495,,,351.09555,9.123108,0.18945621,97711.19,97480.484,9.123108,1.4293671,,1,1966-02-21 01:00:00,7
82,82,,48.383,0.0011053085,-4.495,,,314.1091,2.0029602,0.013200929,98894.94,98663.164,2.0029602,2.0662384,,1,1966-04-09 02:00:00,7
83,83,,48.383,6.67572e-05,-4.495,,,99.65761,1.2211761,-0.01704223,100328.56,100094.875,-1.2211761,7.176132,,1,1966-06-20 01:00:00,1
84,84,,48.383,0.00029277802,-4.495,,,32.180153,8.719177,0.6642463,101084.69,100853.22,8.719177,5.4865417,,1,1966-09-01 13:00:00,3
85,85,,48.383,0.00029802322,-4.495,,,15.491042,7.4630127,0.18346222,98492.44,98265.625,7.4630127,2.0684204,,1,1966-10-03 01:00:00,3
86,86,,48.383,0.0018959045,-4.495,,,100.82498,3.0564423,-0.23780033,98660.06,98427.61,-3.0564423,15.984558,,1,1966-12-01 14:00:00,0
87,87,,48.383,0.0012435913,-4.495,,,29.594978,12.847336,1.9179571,99666.31,99431.875,12.847336,7.296814,,1,1967-03-12 16:00:00,4
88,88,,48.383,0.0019330978,-4.495,,,32.481102,12.211624,1.8461668,99210.625,98977.055,12.211624,7.774002,,1,1967-05-04 04:00:00,4
89,89,,48.383,8.106232e-06,-4.495,,,38.3038,8.117355,0.67278033,101046.69,100812.75,8.117355,6.4115753,,1,1967-06-25 16:00:00,3
90,90,,48.383,0.00027561188,-4.495,,,45.396816,6.236603,0.3916873,100921.44,100689.19,6.236603,6.323593,,1,1967-09-24 15:00:00,1
91,91,,48.383,0.000330925,-4.495,,,208.29594,2.2056885,-0.009199816,98571.0,98338.67,-2.2056885,1.187439,,1,1967-11-04 08:00:00,1
92,92,,48.383,5.340576e-05,-4.495,,,72.96164,4.096939,0.3573388,100455.81,100220.414,4.096939,13.368469,,1,1967-12-23 18:00:00,1
93,93,,48.383,0.0015149117,-4.495,,,15.346633,13.956436,1.1881107,100217.125,99982.234,13.956436,3.8302612,,1,1968-03-24 11:00:00,3
94,94,,48.383,0.0,-4.495,,,354.26898,12.059219,0.28028426,99900.0,99665.78,12.059219,1.2102661,,1,1968-04-16 21:00:00,7
95,95,,48.383,0.00051641464,-4.495,,,31.31019,8.662857,0.62971973,100431.125,100198.53,8.662857,5.269211,,1,1968-07-14 08:00:00,3
96,96,,48.383,9.059906e-05,-4.495,,,56.215168,6.795685,0.7469907,100539.56,100308.79,6.795685,10.157089,,1,1968-09-19 22:00:00,1
97,97,,48.383,8.72612e-05,-4.495,,,296.56766,2.4959106,0.049516212,98586.375,98355.266,2.4959106,4.9912567,,1,1968-11-02 07:00:00,7
98,98,,48.383,0.00056028366,-4.495,,,54.684124,7.206299,0.8412086,97524.19,97296.06,7.206299,10.1718445,,1,1969-01-12 23:00:00,3
99,99,,48.383,0.00051116943,-4.495,,,122.03882,3.0544434,-0.07251565,98216.81,97985.8,-3.0544434,4.880768,,1,1969-02-20 05:00:00,1
100,100,,48.383,3.385544e-05,-4.495,,,79.45057,1.6204681,0.036387153,98850.0,98617.16,1.6204681,8.70137,,1,1969-04-21 14:00:00,1
101,101,,48.383,0.0010027885,-4.495,,,78.00349,1.4827423,0.024430485,100096.75,99864.53,1.4827423,6.977844,,1,1969-06-17 22:00:00,1
102,102,,48.383,0.0012254715,-4.495,,,247.44629,2.073578,-0.03418735,100570.625,100338.92,-2.073578,4.992813,,1,1969-09-18 16:00:00,1
103,103,,48.383,0.0020537376,-4.495,,,9.980443,12.226883,0.5122452,99243.75,99013.02,12.226883,2.1516266,,1,1969-11-11 11:00:00,3
104,104,,48.383,0.0011878014,-4.495,,,9.258344,12.46315,0.5025471,98233.75,98003.34,12.46315,2.0316162,,1,1970-01-14 04:00:00,3
105,105,,48.383,1.859665e-05,-4.495,,,73.491,6.286392,1.3348378,98193.31,97960.28,6.286392,21.210266,,1,1970-02-12 08:00:00,0
106,106,,48.383,2.670288e-05,-4.495,,,74.49386,3.9421692,0.35165456,100460.375,100223.3,3.9421692,14.209091,,1,1970-04-25 14:00:00,1
107,107,,48.383,0.0009660721,-4.495,,,18.605568,7.8887634,0.2631958,100371.75,100140.76,7.8887634,2.655716,,1,1970-07-08 16:00:00,3
108,108,,48.383,0.002295971,-4.495,,,28.233192,13.482285,2.095544,99749.125,99519.86,13.482285,7.239197,,1,1970-09-09 04:00:00,4
109,109,,48.383,6.9618225e-05,-4.495,,,55.881496,4.8875427,0.27442762,97748.25,97521.37,4.8875427,7.213852,,1,1970-11-18 15:00:00,3
110,110,,48.383,0.00058698654,-4.495,,,25.65733,14.860489,2.5103662,96908.875,96679.125,14.860489,7.1382446,,1,1971-01-21 07:00:00,4
111,111,,48.383,0.00076150894,-4.495,,,25.783545,15.31749,2.7646966,97367.19,97137.42,15.31749,7.399338,,1,1971-03-18 03:00:00,4
112,112,,48.383,3.8146973e-06,-4.495,,,234.73239,4.266281,-0.17486028,99470.75,99236.984,-4.266281,6.032715,,1,1971-04-04 15:00:00,1
113,113,,48.383,0.0010533333,-4.495,,,9.766766,6.5569305,0.077275984,100349.19,100118.08,6.5569305,1.1286621,,1,1971-07-23 14:00:00,3
114,114,,48.383,0.0006380081,-4.495,,,48.103523,8.134567,0.9554847,100093.875,99862.51,8.134567,9.0672455,,1,1971-08-14 05:00:00,3
115,115,,48.383,0.0020456314,-4.495,,,83.09378,1.0474854,0.015111075,99360.19,99125.61,1.0474854,8.648087,,1,1971-11-29 22:00:00,1
116,116,,48.383,0.00032043457,-4.495,,,324.03546,9.712051,1.0585425,99526.0,99290.625,9.712051,7.047043,,1,1972-01-14 23:00:00,7
117,117,,48.383,0.0017952919,-4.495,,,199.47955,10.953232,-0.74022233,98374.125,98140.305,-10.953232,3.8743439,,1,1972-02-13 05:00:00,6
118,118,,48.383,8.440018e-05,-4.495,,,46.527653,10.084579,1.7227517,100123.81,99888.734,10.084579,10.637207,,1,1972-04-07 05:00:00,3
119,119,,48.383,0.0021362305,-4.495,,,62.89011,2.1773071,0.032108232,100587.5,100351.984,2.1773071,4.2530212,,1,1972-06-06 19:00:00,1
120,120,,48.383,0.0016140938,-4.495,,,358.8889,13.841858,0.08191302,100068.19,99838.234,13.841858,0.26846313,,1,1972-08-07 23:00:00,7
121,121,,48.383,0.0014595985,-4.495,,,44.14069,9.748642,1.4318019,98266.875,98036.09,9.748642,9.4605255,,1,1972-11-19 23:00:00,4
122,122,,48.383,0.00011730194,-4.495,,,358.3434,17.36406,0.2411255,98563.75,98332.34,17.36406,0.502182,,1,1972-12-27 16:00:00,7
123,123,,48.383,4.863739e-05,-4.495,,,145.34647,7.851425,-0.5327824,98523.31,98286.71,-7.851425,5.42717,,1,1973-02-14 23:00:00,1
124,124,,48.383,4.2915344e-05,-4.495,,,6.1228514,9.657883,0.15389125,100022.81,99789.875,9.657883,1.036026,,1,1973-05-03 12:00:00,3
125,125,,48.383,0.0009050369,-4.495,,,198.32838,3.9199524,-0.031776123,101055.75,100823.36,-3.9199524,1.2985535,,1,1973-07-05 09:00:00,2
126,126,,48.383,0.00023460388,-4.495,,,22.350777,13.628738,1.6575367,100360.625,100130.28,13.628738,5.603668,,1,1973-09-18 15:00:00,3
