station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster
123,50.727501,1.5774,238,0.09847133919621309,0.728605413234494,0.28126227580053786,0.040811639614603434,0.8073021450964009,0.08069972247859147,0.9963687816742748,1
124,50.783298,0.06667,205,-0.00044194981371548683,0.4282179101185549,0.1529106277406872,0.06012143951312876,0.43220801607455894,0.11466558457713527,0.9899069036568062,2
125,50.368401,-4.1852002,203,0.03365334750174169,0.3928602117355037,0.13753795850976974,0.04767187689921326,0.7269858504090182,0.08111074224981624,0.996574520024124,2
126,50.8004,-1.1102,203,-0.054832445995843235,0.4775273379804078,0.1657100552637277,0.04125326105533356,0.8656690571688409,0.06991373463166406,0.9970258432048731,2
127,50.607899,-2.4465001,204,0.040141143340363256,0.4000914717655881,0.15161307654707995,0.04191053057356753,0.8510871617552745,0.07458226976249016,0.9979392533976716,2
128,50.7136,-1.8747,165,-0.11535153848424651,0.39130571122562385,0.16469642613955887,0.04676555677894323,0.8465100954907826,0.07679541491819486,0.9965794601664157,2
129,50.651108,-1.1531577,112,-0.27199354620879745,0.41078572457536794,0.1444711674971194,0.09370564817885457,0.2622575672135734,0.14768576805086148,0.987983943885808,4
13,47.205383,-1.765133,213,-0.08328334315408811,0.7329123201543664,0.35052927704095976,0.06517747609939062,0.3123469515883517,0.11841913556791422,0.9891440991974847,1
130,50.740292,-1.5071276,105,-0.5290920890750921,0.47214391666134814,0.22340251107387532,0.08399737372679306,0.42592091559976564,0.13965076632334417,0.9888452035427573,4
131,50.609333,-1.949177,95,0.13087493301385336,0.40091978544597784,0.16682036125057131,0.07130007083306579,0.6925115481868587,0.12716795513970125,0.9913777976326871,2
133,50.594177,-4.8344054,88,0.31768322260064785,0.8285995475349924,0.561040403013962,0.1491684345748541,0.03569773475206561,0.24792897118963367,0.9372438532130977,1
14,47.19345,-1.633667,203,0.009830558446120513,0.8047343520517918,0.4311584924531131,0.08116077859809923,0.13046519199461615,0.15051960761668792,0.9796763528699485,1
140,50.8839,-1.3931,226,0.0035978920516330833,0.5981557442772965,0.1794074899376693,0.038473652374535816,0.8785057075659182,0.06638375786383624,0.9983656069858335,4
141,50.802194,-1.11125,177,0.03220701514863289,0.460458448657487,0.16283439354133236,0.06241044116284494,0.4767173300448858,0.12338378185718274,0.9910574313344418,2
142,50.368389,-4.18525,172,0.21781991692093772,0.568182182348884,0.4257702001585365,0.13628157661296258,0.0030110440987897065,0.27118541691066644,0.9057239408744497,4
146,51.707389,-5.051778,357,0.6403909017347176,0.7384557480589224,0.023597962884504248,0.07679014940118513,0.02811948567355671,0.12907189592816937,0.9840926552179925,5
147,51.6496,-9.9034,105,0.060697394427937576,0.36273750394397797,0.14255037046848482,0.0586031665918999,0.8426743146346468,0.09393784769863714,0.9947255392280486,2
148,51.8278,-8.0007,84,0.22424445168140955,0.4398265297877212,0.20470706956660886,0.06544885126662321,0.8412206397886967,0.13062809775432743,0.9873644327885726,4
15,48.640812,-2.028103,190,0.046931493562253124,0.5543072318001685,0.18664441610642313,0.04988752924533657,0.7123874307150413,0.08112770625198229,0.9959897624527643,2
151,51.716702,-5.0500002,200,0.06993895062007488,0.4379022634465374,0.18310539354735106,0.06841549493638216,0.2929497950719874,0.1050917544414936,0.9933944814852977,2
152,51.649601,-9.9034004,105,-0.14551383041871993,0.32731958966408514,0.14127947926028767,0.0685896876748246,0.6805088258100047,0.12730923540825606,0.9868383606535072,2
153,51.827801,-8.0007,85,0.2978184787309364,0.8478023098937995,0.2214909769647896,0.09937579168047928,0.3476763806738229,0.1583298646816511,0.9863183115651112,4
154,51.84,-8.3039999,79,-0.013775506566708775,0.3409741147031047,0.17619456414309584,0.10886462273520858,0.28520149055557653,0.20077176841977418,0.9664039001860885,2
