,Unnamed: 0,station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster,DU,CODE_1_18,CODE_2_18,CODE_3_18,CODE_4_18,CODE_5_18,COMMENT_18
13,13,121,50.72738,1.57766,238,0.1017201016680907,0.735742689302981,0.2818743775898544,0.0426679516799905,0.7625423098737214,0.0808788486227371,0.9962419604503608,1,4,8,84,842,8420,84200,
14,14,122,50.969501,1.8677,308,0.1419396347846442,0.7276494033863857,0.264416920889336,0.0478535064020442,0.4666063888121182,0.0877415703838969,0.9963227524681312,1,4,1,12,123,1232,12320,
15,15,123,50.727501,1.5774,238,0.0986951135284228,0.7343081439571194,0.2812544634442696,0.0408189440706775,0.8071315183587883,0.0801758891605168,0.9963773144882602,1,4,8,84,842,8420,84200,
16,16,124,50.783298,0.06667,205,-0.0001879269776253,0.4318347578558201,0.1530287645171121,0.0595155350032734,0.4449934587098092,0.1151664095836877,0.9898439158761054,3,4,7,72,721,7210,72100,
17,17,125,50.368401,-4.1852002,203,0.0334330188628673,0.3910876017883575,0.1375209791120469,0.0470058105294253,0.7425865813078877,0.0800455969658513,0.9965700114777132,3,4,1,12,123,1236,12360,
18,18,126,50.8004,-1.1102,203,-0.0596132677969032,0.4399705751248702,0.1641270308372304,0.0419780705279861,0.8517485450560376,0.0732083011460086,0.996905945331084,3,4,1,12,123,1234,12340,
19,19,127,50.607899,-2.4465001,204,0.0398744127626695,0.3977831432976929,0.1515032450057134,0.0404035568907954,0.8794833063094978,0.0743974987168777,0.9979441279352484,3,4,8,81,811,8110,81100,
20,20,128,50.7136,-1.8747,165,-0.1186300167061249,0.4106955929454887,0.1643274374526066,0.049709530982598,0.7905521790174116,0.0890331820839211,0.9963338087989808,3,4,8,84,842,8420,84200,
21,21,129,50.651108,-1.1531577,112,-0.272751174949764,0.4051227064743821,0.1441356802381272,0.0911272376027554,0.2921159463188175,0.1442777416159818,0.9878575391752948,3,4,8,84,842,8420,84200,
22,22,13,47.205383,-1.765133,213,-0.0823425769803469,0.7390076146349648,0.3509113409234792,0.0644111179075723,0.3258522510756887,0.1168785090413891,0.9890919797383122,1,4,8,81,811,8110,81100,
23,23,130,50.740292,-1.5071276,105,-0.5383090956506165,0.4989575850326324,0.2222026376786166,0.0833526651902992,0.4355697718121118,0.1396353928653241,0.9892467993806544,3,4,8,84,842,8420,84200,
24,24,131,50.609333,-1.949177,95,0.1313327345200057,0.3926827477964157,0.1669008121470283,0.0714713159186733,0.6897058634403916,0.1271048648951689,0.9911934244104748,3,4,8,84,842,8420,84200,
25,25,133,50.594177,-4.8344054,88,0.3206662604070879,0.8031285647321317,0.5614123081565747,0.1499175131915163,0.0342898937415212,0.249974010925844,0.9369945658834437,4,4,8,84,842,8420,84200,
26,26,14,47.19345,-1.633667,203,0.0134330634830521,0.8232882942879987,0.432511799331808,0.0819018346598658,0.1241505438848318,0.1503069268684796,0.9797964126425452,4,4,1,12,123,1231,12310,
27,27,140,50.8839,-1.3931,226,0.0042792526272125,0.6276230253439268,0.1798321126857646,0.0309892874894778,0.9770953946611451,0.0568306160714349,0.99866448177567,3,4,8,83,832,8320,83200,
28,28,141,50.802194,-1.11125,177,0.0321888062476629,0.4611759286070112,0.1628453400971136,0.062298389508422,0.4790150532928037,0.1233018250604657,0.991067054335292,3,4,1,12,123,1234,12340,
29,29,142,50.368389,-4.18525,172,0.2176333426426524,0.5645075854326811,0.4256514880536335,0.1369402787472823,0.0028277755478398,0.272646571164597,0.9056776935281504,1,4,1,12,123,1236,12360,
31,31,147,51.6496,-9.9034,105,0.0588466442113375,0.3830352650200835,0.1425147139332348,0.0552482367652136,0.8879564998171277,0.0923633780620368,0.99469884806074,3,4,1,12,123,1233,12330,
32,32,148,51.8278,-8.0007,84,0.226027038122887,0.3835082443092429,0.2052377244922952,0.0699158540021328,0.77968803160798,0.1304851690396265,0.9875590727430203,3,4,8,84,842,8420,84200,
33,33,15,48.640812,-2.028103,190,0.045248010591771,0.5436971216073824,0.1861832229783482,0.0512194921521484,0.6816250151769158,0.083280982293869,0.9959427545622148,3,4,8,84,842,8420,84200,
34,34,151,51.716702,-5.0500002,200,0.0694745200040886,0.4400004794577209,0.1830452654573161,0.0683477541043902,0.2940413478914973,0.1034240698808935,0.9935700994664058,3,4,1,11,111,1112,11120,
35,35,152,51.649601,-9.9034004,105,-0.1476613746605578,0.3519409308518334,0.141030932902707,0.0667373659245489,0.712343894808253,0.1280348435311473,0.986759306145052,3,4,1,12,123,1233,12330,
36,36,153,51.827801,-8.0007,85,0.3100034519077288,0.412178102786775,0.2251386287900602,0.0837534929872986,0.5613323848688525,0.1442400019780204,0.988182225882649,5,4,8,84,842,8420,84200,
37,37,154,51.84,-8.3039999,79,-0.0098384711904077,0.40972647000223,0.1772048711268642,0.0993058876363801,0.3915113553314918,0.1917110870816536,0.967029453179242,3,4,1,12,123,1233,12330,
38,38,156,51.114389,1.322528,396,-0.1153757449007556,0.6287207783814618,0.236471214568619,0.0532022406306923,0.2048871155046231,0.10255266093395,0.9924324308434092,1,4,1,12,123,1231,12310,
39,39,157,51.445639,0.743361,337,0.4924956090589786,0.9505760220526788,0.5985442267399266,0.1094315640176419,0.0005712705004603,0.2062622203431365,0.953028550684356,4,4,1,12,123,1231,12310,
40,40,158,51.211139,-4.112389,280,0.5765099380443541,1.2095912430529765,0.3759525687769236,0.1022734662066689,0.0052908809084673,0.1685918323936463,0.9721108063232484,4,4,5,51,510,5100,51000,
41,41,16,45.56843333,-1.06148333,128,0.0563403370550189,0.3730802228952937,0.1951460079972892,0.0353761104565395,0.9955096163627104,0.0697806960840456,0.9980577190527864,3,4,8,83,832,8320,83200,
42,42,160,51.948,1.292056,222,-0.2097946740927133,0.571370014356722,0.3795268123760246,0.0811410635441161,0.1016977786360362,0.1416812368110992,0.9911929539539788,1,4,8,84,842,8420,84200,
43,43,161,51.21525,-3.134472,185,0.0060062276971752,0.7476181512000325,0.3082360510033739,0.0710079215389435,0.2943971801139375,0.1187194474375768,0.988129393235089,1,4,8,84,842,8420,84200,
44,44,162,51.55,-2.987444,187,0.039210890315921,0.9594604723982968,0.2716111129090164,0.0386493036572718,0.932435491491461,0.0724108800096221,0.9971977513729848,1,4,5,51,510,5100,51000,
