station,n_years,annual_max,annual_max_year,c,loc,scale,ks_D,ks_p,lat,lon,status
210,40,1.9936765432357788,1985.0,-1.4210697791288514,0.6399749357879888,0.09283971450783458,0.20781747301987963,0.05413767295566663,51.450047,4.229827,ok
216,23,0.7898755669593811,1989.0,0.5414193944735418,0.6803307849571703,0.0645356113088542,0.11524791609591067,0.8860619772902374,51.773558,4.192415,ok
22,18,1.980719804763794,1996.0,,,,,,45.199667,-0.744167,skipped (<20 years)
226,32,1.988938570022583,1993.0,0.3729504505302933,1.4797927515663014,0.25617621798242896,0.09324402305167057,0.9193582125807013,51.619106,3.686358,ok
227,33,1.9916621446609497,1994.0,0.8832775358813295,1.5792344045923619,0.36673553714364626,0.10799760150269488,0.7972234466380502,51.619592,3.682065,ok
23,15,1.4315675497055054,1967.0,,,,,,45.453667,-0.92305,skipped (<20 years)
236,49,1.9976733922958374,2005.0,1.04416023959297,1.6558045772002368,0.3569658238795872,0.13581034660251595,0.2989268857785147,51.595404,4.006011,ok
237,27,1.9991456270217896,1987.0,1.0795317169766898,1.8436283483870077,0.16788583482414832,0.13030657650527178,0.7008754417339196,51.626665,4.254928,ok
238,13,1.9839270114898682,1990.0,,,,,,51.827026,4.033445,skipped (<20 years)
240,58,1.9933615922927856,1977.0,0.854587592354544,1.7460134098852569,0.21246380201820064,0.09987328603202317,0.5747414786306569,51.336209,3.819812,ok
242,15,1.9453102350234985,1976.0,,,,,,51.599317,3.75183,skipped (<20 years)
243,58,1.995986819267273,1962.0,0.6021670615512421,1.625259580791227,0.24313347199910218,0.10100296097237277,0.5605020555331757,51.442308,3.596057,ok
245,29,1.9816817045211792,1968.0,1.1594808451432814,1.5817534715467265,0.4637091255658776,0.16952268741309134,0.336445433624331,51.496839,4.056964,ok
248,49,1.986714243888855,1973.0,0.6605598760589524,1.497545402093626,0.34085920840088163,0.12037876998892805,0.44212571174057336,51.521445,3.440031,ok
